ID;Aktywny (0 lub 1);Nazwa;Kategorie (x,y,z...);Cena bez podatku. (netto);ID reguły podatku;Koszt własny;W sprzedaży (0 lub 1);Wartość rabatu;Procent rabatu;Rabat od dnia (rrrr-mm-dd);Rabat do dnia (rrrr-mm-dd);Indeks #;Kod dostawcy;Dostawca;Marka;kod EAN13;Kod kreskowy UPC;MPN;Podatek ekologiczny;Szerokość;Wysokość;Głębokość;Waga;Czas dostawy produktów dostępnych w magazynie:;Czas dostawy wyprzedanych produktów z możliwością rezerwacji:;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu;Widoczność;Dodatkowe koszty przesyłki;Jednostka dla ceny za jednostkę;Cena za jednostkę;Podsumowanie;Opis;Tagi (x,y,z...);Meta-tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;Etykieta, gdy w magazynie;Etykieta kiedy dozwolone ponowne zamówienie;Dostępne do zamówienia (0 = Nie, 1 = Tak);Data dostępności produktu;Data wytworzenia produktu;Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...);Tekst alternatywny dla zdjęć (x,y,z...);Usuń istniejące zdjęcia (0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online (0 = Nie, 1 = Tak);Stan:;Konfigurowalny (0 = Nie, 1 = Tak);Można wgrywać pliki (0 = Nie, 1 = Tak);Pola tekstowe (0 = Nie, 1 = Tak);Akcja kiedy brak na stanie;Wirtualny produkt (0 = No, 1 = Yes);Adres URL pliku;Ilość dozwolonych pobrań;Data wygaśnięcia (rrrr-mm-dd);Liczba dni;ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn;Akcesoria (x,y,z...)
1;1;Lampa ByLight Jazz Mosiądz;Lampy wiszace;527.64;1;;0;;;;;;;;;;;;;;;;;;;71;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>8,3 cm</dd><dt>Średnica</dt><dd>26,5 cm</dd><dt>Długość kabla</dt><dd>2 m</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>E27</dd></dl>;<p>Metalowa lampa w całości produkowana przez ByLight w Polsce.</p><p>Mysiądz</p><p>Czas realizacji około 7 dni roboczych.</p><p>Materiał: czysty mosiądz</p><p>W zestawie nie ma żarówki - zapraszamy do działu żarówki dekoracyjne aby wybrać pożądany model.</p>;;Meta title-1;Meta keywords-1;Meta description-1;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://cdn3.bylight.waynet.pl/10343-large_default/lampa-bylight-jazz-mosiadz.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
2;1;Lampa Bylight Soul 02 Surowa;Lampy wiszace;405.69;1;;0;;;;;;;;;;;;;;;;;;;56;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>18,5 cm</dd><dt>Średnica</dt><dd>42,5 cm</dd><dt>Długość kabla</dt><dd>2 m</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>E27</dd></dl>;<p>Bylight Soul - Jak z modnej kawiarenki </p><p>Bylight Soul to projekt naszej warszawskiej ekipy, który pokochały kawiarnie z całej Polski - świetnie wpasowują się w klimat chillout’u - najlepiej w otoczeniu gołych cegieł i drewnianych krzeseł, kiedy w powietrzu unosi się zapach świeżo zmielonej kawy. To lampa, która dobrze czuje się w kuchni czy jadalni, nadając jej świetny, unikalny klimat. Wybierz lampę Bylight Soul do swojego domu - do wyboru masz różne kolory, choć możesz zawsze wybrać klasyczną czerń lub biel. </p><p>Czas realizacji około 7 dni roboczych.</p><p>Materiał: metal, stal surowa.</p><p>Ze względu na to, iż stal surowa rdzewieje, po pewnym czasie lampa zacznie delikatnie korodować. Aby przywrócić jej blask można ją wtedy wypolerować pasta do metalu. </p><p>Jeżeli nie chcemy efektu starzenia proponujemy polakierowanie lampy lakierem bezbarwnym - poniżej w menu można wybrać taką opcję.</p><p></p><p>W zestawie nie ma żarówki - zapraszamy do działu żarówki dekoracyjne aby wybrać pożądany model.</p>;;Meta title-2;Meta keywords-2;Meta description-2;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://cdn3.bylight.waynet.pl/5354-large_default/lampa-bylight-soul-02-surowa.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
3;1;Lampa Rhythm Mosiądz;Lampy wiszace;812.93;1;;0;;;;;;;;;;;;;;;;;;;77;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>35 cm</dd><dt>Szerokość</dt><dd>55 cm</dd><dt>Długość kabla</dt><dd>2 m</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>E27</dd><dt>Napięcie</dt><dd>230V</dd></dl>;<p>Lampa 100% ręcznie wykonana przez ByLight w Warszawie. </p><p>Wykonana ze stali posiada 6 oprawek na żarówki. Galwanizowana w mosiądz.</p><p> Do lampy pasują żarówki Edisona, mleczne, halogenowe i LED-owe. </p><p>Żarówek nie ma w zestawie. Zapraszamy do działu z żarówkami w celu wybrania odpowiednich żarówek.</p><p>Lampa wykonana z mosiądzu - ulega procesowi starzenia.</p><p>Czas realizacji około 7 dni roboczych.</p>;;Meta title-3;Meta keywords-3;Meta description-3;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://bylight.waynet.pl/5827-large_default/lampa-rhythm-mosiadz.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
4;1;Lampa ByLight B30 Mosiądz - klosz miodowy;Lampy wiszace;1218.7;1;;0;;;;;;;;;;;;;;;;;;;47;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>82 cm</dd><dt>Średnica</dt><dd>30 cm</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>G9</dd></dl>;<p>Mosiężna lampa w całości produkowana przez ByLight w Polsce.</p><p>Mosiądz szczotkowany zabezpieczony lakierem bezbarwnym.</p><p>Czas realizacji około 14 dni roboczych.</p><p>Materiał: metal i szkło.</p><p>Możesz wybrać między kloszem matowym lub błyszczącym.</p><p>W zestawie nie ma żarówki - zapraszamy do działu żarówki dekoracyjne aby wybrać pożądany model.</p><p>NA ZAMÓWIENIE MOŻEMY PRZYGOTWAĆ DOWOLNĄ DŁUGOŚĆ SZTYCY LAMPY - KRÓTSZĄ LUB DŁUŻSZĄ</p>;;Meta title-4;Meta keywords-4;Meta description-4;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://bylight.waynet.pl/10370-large_default/lampa-bylight-b30-mosiadz-klosz-miodowy.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
5;1;Lampa ByLight Jazz Czarny;Lampy wiszace;324.39;1;;0;;;;;;;;;;;;;;;;;;;37;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>8,3 cm</dd><dt>Średnica</dt><dd>26,5 cm</dd><dt>Długość kabla</dt><dd>2 m</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>E27</dd></dl>;<p>Metalowa lampa w całości produkowana przez ByLight w Polsce.</p><p>Malowana na czarno.</p><p>Czas realizacji około 7 dni roboczych.</p><p>Materiał: metal</p><p>W zestawie nie ma żarówki - zapraszamy do działu żarówki dekoracyjne aby wybrać pożądany model.</p>;;Meta title-5;Meta keywords-5;Meta description-5;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://cdn3.bylight.waynet.pl/5575-large_default/lampa-bylight-jazz-czarny.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
6;1;Lampa ByLight Trio B15 Stick Mosiądz;Lampy wiszace;1218.7;1;;0;;;;;;;;;;;;;;;;;;;100;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>70 cm</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>3 x G9</dd><dt>Średnica klosza</dt><dd>11,6 cm</dd><dt>Napięcie</dt><dd>230V</dd></dl>;<p>Lampa ByLight Trio B15 Stick Mosiądz. Lampa na sztycy posiadająca trzy szklane klosze.</p><p>Na zamówienie możemy pomalować lampę w dowolny kolor z palety RAL oraz wymienić wszystkie śruby z mosiężnych na chromowane. </p><p>Zapraszamy do sekcji z żarówkami, gdzie można wybrać żarówkę idealnie pasującą do tego minimalistycznego kinkietu. Kinkiet sprzedawany jest bez żarówki. </p><p>Żarówka 3 x G9</p><p>Czas realizacji to około 7 dni roboczych.</p>;;Meta title-6;Meta keywords-6;Meta description-6;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://cdn3.bylight.waynet.pl/9270-large_default/lampa-bylight-trio-b15-stick-mosiadz.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
7;1;Lampa Bylight Soul 02 Biała;Lampy wiszace;446.34;1;;0;;;;;;;;;;;;;;;;;;;70;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>18,5 cm</dd><dt>Średnica</dt><dd>42,5 cm</dd><dt>Długość kabla</dt><dd>2 m</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>E27</dd></dl>;<p>Bylight Soul - Jak z modnej kawiarenki </p><p>Bylight Soul to projekt naszej warszawskiej ekipy, który pokochały kawiarnie z całej Polski - świetnie wpasowują się w klimat chillout’u - najlepiej w otoczeniu gołych cegieł i drewnianych krzeseł, kiedy w powietrzu unosi się zapach świeżo zmielonej kawy. To lampa, która dobrze czuje się w kuchni czy jadalni, nadając jej świetny, unikalny klimat. Wybierz lampę Bylight Soul do swojego domu - do wyboru masz różne kolory, choć możesz zawsze wybrać klasyczną czerń lub biel. </p><p>Czas realizacji około 7 dni roboczych.</p><p>Materiał: metal, malowana na biało.</p><p>W zestawie nie ma żarówki - zapraszamy do działu żarówki dekoracyjne aby wybrać pożądany model.</p>;;Meta title-7;Meta keywords-7;Meta description-7;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://cdn2.bylight.waynet.pl/5342-large_default/lampa-bylight-soul-02-biala.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
8;1;Lampa Rock Miedź;Lampy wiszace;649.59;1;;0;;;;;;;;;;;;;;;;;;;98;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>5,6 cm</dd><dt>Średnica</dt><dd>27 cm</dd><dt>Długość kabla</dt><dd>2 m</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>E27</dd></dl>;<p>Bylight Rock - Gwiazda na salonach </p><p>Miedź, zabezpieczona lakierem bezbarwnym, szeroka tarcza, 100% ręczny wyrób przez najlepszych rzemieślników w Warszawie - model Bylight Rock naprawdę rządzi! Doda charakteru każdemu wnętrzu, a dzięki surowemu designowi, nigdy Ci się nie znudzi - to jeden z tych projektów, do których nie trzeba nikogo przekonywać. Szukasz czegoś modnego, a jednocześnie ponadczasowego? Chcesz nie tylko oświetlić wnętrze, ale i nadać mu nowy wymiar? Wybierz Bylight Rock w ulubionym kolorze, dobierz do niego kabel i ulubiony model żarówki - będzie zbierał gromki aplauz wszystkich gości.</p><p>W zestawie nie ma żarówki - zapraszamy do działu żarówki dekoracyjne aby wybrać pożądany model. </p>;;Meta title-8;Meta keywords-8;Meta description-8;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://bylight.waynet.pl/4592-large_default/lampa-rock-miedz.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
9;1;Lampa Bylight Soul 02 Czarna;Lampy wiszace;446.34;1;;0;;;;;;;;;;;;;;;;;;;24;1;1;1;both;;;;<dl><dt>Wysokość</dt><dd>18,5 cm</dd><dt>Średnica</dt><dd>42,5 cm</dd><dt>Długość kabla</dt><dd>2 m</dd><dt>Moc</dt><dd>Max 60W</dd><dt>Gwint</dt><dd>E27</dd></dl>;<p>Bylight Soul - Jak z modnej kawiarenki </p><p>Bylight Soul to projekt naszej warszawskiej ekipy, który pokochały kawiarnie z całej Polski - świetnie wpasowują się w klimat chillout’u - najlepiej w otoczeniu gołych cegieł i drewnianych krzeseł, kiedy w powietrzu unosi się zapach świeżo zmielonej kawy. To lampa, która dobrze czuje się w kuchni czy jadalni, nadając jej świetny, unikalny klimat. Wybierz lampę Bylight Soul do swojego domu - do wyboru masz różne kolory, choć możesz zawsze wybrać klasyczną czerń lub biel. </p><p>Czas realizacji około 7 dni roboczych.</p><p>Materiał: metal, malowana na czarno.</p><p>W zestawie nie ma żarówki - zapraszamy do działu żarówki dekoracyjne aby wybrać pożądany model.</p>;;Meta title-9;Meta keywords-9;Meta description-9;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://bylight.waynet.pl/5346-large_default/lampa-bylight-soul-02-czarna.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
10;1;Lampa ByLight L90 LED Stal nierdzewna;Lampy wiszace;2438.21;1;;0;;;;;;;;;;;;;;;;;;;31;1;1;1;both;;;;<dl><dt>Szerokość</dt><dd>90 cm</dd><dt>Lumeny</dt><dd>840lm</dd><dt>Moc</dt><dd>30W</dd><dt>Gwint</dt><dd>LED</dd><dt>Dane tech.</dt><dd>Neutralna barwa światła 4000K</dd><dt>Napięcie</dt><dd>230V</dd></dl>;<p>Estetyczna lampa LED wykonana ze stali nierdzewnej produkowana w całości na zamówienie. </p><p>Możliwość modyfikacji poszczególnych elementów lampy.</p><p>Czas realizacji do 14 dni roboczych.</p><p>Materiał: stal nierdzewna</p><p></p>;;Meta title-10;Meta keywords-10;Meta description-10;;Dostępny;Niedostępny;1;;2021-01-01 10:10:10;1;https://cdn2.bylight.waynet.pl/10485-large_default/lampa-bylight-l120-stal-nierdzewna.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
